Time resolution is 1 ps
Time: 835000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 845000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000000
Time: 855000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000001
Time: 865000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000010
Time: 875000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000011
Time: 885000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000100
Time: 895000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000101
Time: 905000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000110
Time: 915000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000111
Time: 925000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001000
Time: 935000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001001
Time: 945000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 955000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 965000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 975000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 985000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 995000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
